Nation,Rank,Overall,Attack,Midfield,Defence,HomeStadium,RivalTeam,InternationalPrestige,Starting11AverageAge,WholeTeamAverageAge,Captain,ShortFreeKick,LongFreeKick,Penalties,LeftCorner,RightCorner,BuildUpPlay_Speed,BuildUpPlay_Dribbling,BuildUpPlay_Passing,BuildUpPlay_Positioning,ChanceCreation_Passing,ChanceCreation_Crossing,ChanceCreation_Shooting,ChanceCreation_Positioning,Defence_Pressure,Defence_Aggression,Defence_TeamWidth,Defence_DefenderLine
France,17,82,82,82,81,ParcdesPrinces,Italy,18,27.73,26.7,H.Lloris,A.Griezmann,D.Payet,O.Giroud,D.Payet,D.Payet,48,60,36,Organised,49,52,52,Organised,36,46,52,Cover
Romania,22,73,72,73,73,Waldstadion(Fussballstadion),Hungary,11,27.64,27.52,V.Chiricheş,L.Sânmărtean,L.Sânmărtean,B.Stancu,G.Torje,G.Torje,55,45,50,Organised,40,65,35,Organised,35,45,50,Cover
Switzerland,15,78,76,76,79,Waldstadion(Fussballstadion),Austria,11,24.55,25.61,S.Lichtsteiner,R.Rodriguez,R.Rodriguez,R.Rodriguez,X.Shaqiri,R.Rodriguez,62,51,52,Organised,59,59,43,Organised,51,45,52,Cover
England,11,81,82,79,80,WembleyStadium,Germany,16,25.18,24.57,W.Rooney,W.Rooney,W.Rooney,W.Rooney,J.Henderson,J.Henderson,54,36,56,Organised,56,67,51,Organised,43,47,51,Cover
Russia,29,78,78,77,77,Waldstadion(Fussballstadion),Poland,12,28.91,27.91,R.Shirokov,R.Shirokov,S.Ignashevich,R.Shirokov,O.Shatov,P.Mamaev,65,51,53,Organised,62,61,57,Organised,47,47,55,Offside Trap
Wales,26,74,74,74,73,IvyLane,England,9,25.09,25.96,A.Williams,G.Bale,A.Ramsey,G.Bale,A.Ramsey,A.Ramsey,60,33,44,Organised,53,46,40,Organised,48,53,63,Cover
Germany,4,83,78,84,80,Olympiastadion,England,20,25.09,24.91,M.Neuer,M.Özil,M.Reus,T.Müller,M.Reus,M.Özil,63,29,40,Organised,48,48,63,Organised,44,57,51,Cover
Poland,27,76,82,75,72,SandersonPark(FIFA13NEWgeneric),Germany,11,25.91,26.13,R.Lewandowski,J.Błaszczykowski,G.Krychowiak,R.Lewandowski,J.Błaszczykowski,J.Błaszczykowski,55,51,35,Free Form,36,47,56,Free Form,37,56,51,Cover
Northern Ireland,25,70,68,68,69,IvyLane,RepublicofIreland,5,26.27,27.35,S.Davis,S.Davis,S.Davis,S.Davis,S.Davis,O.Norwood,57,51,55,Organised,50,45,62,Organised,40,50,60,Cover
Spain,6,84,81,85,84,SantiagoBernabéu,Italy,19,28.64,26.78,Casillas,CescFàbregas,CescFàbregas,Iniesta,CescFàbregas,CescFàbregas,41,44,38,Organised,38,41,57,Free Form,37,47,59,Cover
Czech Republic,30,75,72,73,73,StadionNeder,Germany,11,26.09,26.22,T.Sivok,L.Krejčí,L.Krejčí,D.Kolář,L.Krejčí,L.Krejčí,47,51,50,Organised,53,56,52,Organised,47,44,66,Cover
Turkey,18,78,77,78,76,Waldstadion(Fussballstadion),Greece,13,26.91,25.57,A.Turan,H.Çalhanoğlu,H.Çalhanoğlu,A.Turan,H.Çalhanoğlu,H.Çalhanoğlu,40,55,50,Organised,58,45,58,Organised,45,50,45,Cover
Belgium,2,81,80,82,77,ODromo,Netherlands,14,24.55,25.09,E.Hazard,K.DeBruyne,K.DeBruyne,E.Hazard,K.DeBruyne,K.DeBruyne,33,74,36,Organised,36,33,46,Free Form,58,56,50,Cover
Italy,12,80,79,79,80,StadioOlimpico,France,18,27.55,27.48,G.Buffon,L.Insigne,L.Insigne,S.Zaza,A.Florenzi,A.Florenzi,52,30,54,Organised,42,60,42,Organised,34,44,34,Cover
Ireland,33,75,76,74,75,EstadiodelasArtes(GenericStadiumNG),England,10,27.82,28.78,J.O'Shea,R.Brady,R.Brady,J.Walters,R.Brady,R.Brady,45,49,45,Organised,40,50,50,Organised,40,40,40,Cover
Sweden,35,75,80,73,73,ForestParkStadium(SquareGround),Denmark,11,28.36,26.65,Z.Ibrahimović,Z.Ibrahimović,Z.Ibrahimović,Z.Ibrahimović,E.Forsberg,K.Källström,49,55,45,Organised,33,64,37,Organised,42,59,52,Cover
Portugal,8,81,85,79,79,Waldstadion(Fussballstadion),Spain,16,26.73,27,CristianoRonaldo,CristianoRonaldo,CristianoRonaldo,CristianoRonaldo,Nani,Nani,55,55,31,Organised,30,52,48,Free Form,47,47,63,Cover
Austria,10,75,72,76,76,StadionOlympik,Germany,9,26.36,26.52,C.Fuchs,D.Alaba,D.Alaba,D.Alaba,D.Alaba,D.Alaba,61,70,48,Organised,61,30,66,Organised,54,63,58,Cover
Hungary,20,71,73,68,69,StadionNeder,Romania,9,26.91,26.78,B.Dzsudzsák,B.Dzsudzsák,B.Dzsudzsák,B.Dzsudzsák,B.Dzsudzsák,B.Dzsudzsák,52,47,53,Organised,62,55,42,Organised,47,47,51,Cover
