Country,Coach,player_pos,player_name,player_cap
Costa Rica,Alexandre Guimaraes,GK,Alvaro Mesen,38
Costa Rica,Alexandre Guimaraes,DF,Jervis Drummond,56
Costa Rica,Alexandre Guimaraes,DF,Luis Marin,120
Costa Rica,Alexandre Guimaraes,DF,Michael Umana,18
Costa Rica,Alexandre Guimaraes,DF,Gilberto Martinez,57
Costa Rica,Alexandre Guimaraes,MF,Danny Fonseca,22
Costa Rica,Alexandre Guimaraes,MF,Christian Bolanos,16
Costa Rica,Alexandre Guimaraes,MF,Mauricio Solis,107
Costa Rica,Alexandre Guimaraes,FW,Paulo Wanchope,69
Costa Rica,Alexandre Guimaraes,MF,Walter Centeno,93
Costa Rica,Alexandre Guimaraes,FW,Ronald Gomez,80
Costa Rica,Alexandre Guimaraes,DF,Leonardo Gonzalez,36
Costa Rica,Alexandre Guimaraes,FW,Kurt Bernard,3
Costa Rica,Alexandre Guimaraes,MF,Randall Azofeifa,5
Costa Rica,Alexandre Guimaraes,DF,Harold Wallace,78
Costa Rica,Alexandre Guimaraes,MF,Carlos Hernandez,17
Costa Rica,Alexandre Guimaraes,DF,Gabriel Badilla,7
Costa Rica,Alexandre Guimaraes,GK,Jose Francisco Porras,16
Costa Rica,Alexandre Guimaraes,FW,Alvaro Saborio,23
Costa Rica,Alexandre Guimaraes,MF,Douglas Sequeira,29
Costa Rica,Alexandre Guimaraes,FW,Victor Nunez,3
Costa Rica,Alexandre Guimaraes,DF,Michael Rodriguez,3
Costa Rica,Alexandre Guimaraes,GK,Wardy Alfaro,2
Ecuador,Luis Fernando Suarez,GK,Edwin Villafuerte,15
Ecuador,Luis Fernando Suarez,DF,Jorge Guagua,18
Ecuador,Luis Fernando Suarez,DF,Ivan Hurtado,130
Ecuador,Luis Fernando Suarez,DF,Ulises de la Cruz,84
Ecuador,Luis Fernando Suarez,DF,Jose Luis Perlaza,3
Ecuador,Luis Fernando Suarez,MF,Patricio Urrutia,6
Ecuador,Luis Fernando Suarez,MF,Christian Lara,19
Ecuador,Luis Fernando Suarez,MF,Edison Mendez,64
Ecuador,Luis Fernando Suarez,FW,Felix Borja,6
Ecuador,Luis Fernando Suarez,FW,Ivan Kaviedes,44
Ecuador,Luis Fernando Suarez,FW,Agustin Delgado,68
Ecuador,Luis Fernando Suarez,GK,Cristian Mora,8
Ecuador,Luis Fernando Suarez,DF,Paul Ambrosi,24
Ecuador,Luis Fernando Suarez,MF,Segundo Castillo,11
Ecuador,Luis Fernando Suarez,MF,Marlon Ayovi,74
Ecuador,Luis Fernando Suarez,MF,Antonio Valencia,17
Ecuador,Luis Fernando Suarez,DF,Giovanny Espinoza,56
Ecuador,Luis Fernando Suarez,DF,Neicer Reasco,31
Ecuador,Luis Fernando Suarez,MF,Luis Saritama,15
Ecuador,Luis Fernando Suarez,MF,Edwin Tenorio,68
Ecuador,Luis Fernando Suarez,FW,Carlos Tenorio,29
Ecuador,Luis Fernando Suarez,GK,Damian Lanza,5
Ecuador,Luis Fernando Suarez,FW,Christian Benitez,5
Germany,Jurgen Klinsmann,GK,Jens Lehmann,32
Germany,Jurgen Klinsmann,DF,Marcell Jansen,7
Germany,Jurgen Klinsmann,DF,Arne Friedrich,36
Germany,Jurgen Klinsmann,DF,Robert Huth,16
Germany,Jurgen Klinsmann,MF,Sebastian Kehl,27
Germany,Jurgen Klinsmann,DF,Jens Nowotny,46
Germany,Jurgen Klinsmann,MF,Bastian Schweinsteiger,28
Germany,Jurgen Klinsmann,MF,Torsten Frings,52
Germany,Jurgen Klinsmann,FW,Mike Hanke,6
Germany,Jurgen Klinsmann,FW,Oliver Neuville,55
Germany,Jurgen Klinsmann,FW,Miroslav Klose,55
Germany,Jurgen Klinsmann,GK,Oliver Kahn,85
Germany,Jurgen Klinsmann,MF,Michael Ballack,65
Germany,Jurgen Klinsmann,FW,Gerald Asamoah,40
Germany,Jurgen Klinsmann,MF,Thomas Hitzlsperger,15
Germany,Jurgen Klinsmann,DF,Philipp Lahm,18
Germany,Jurgen Klinsmann,DF,Per Mertesacker,23
