Country,Coach,player_pos,player_name,player_cap
Brazil,Luiz Felipe Scolari,GK,Jefferson,7
Brazil,Luiz Felipe Scolari,DF,Dani Alves,64
Brazil,Luiz Felipe Scolari,DF,Thiago Silva,34
Brazil,Luiz Felipe Scolari,DF,David Luiz,23
Brazil,Luiz Felipe Scolari,MF,Fernando,6
Brazil,Luiz Felipe Scolari,DF,Marcelo,20
Brazil,Luiz Felipe Scolari,MF,Lucas,25
Brazil,Luiz Felipe Scolari,MF,Hernanes,12
Brazil,Luiz Felipe Scolari,FW,Fred,24
Brazil,Luiz Felipe Scolari,FW,Neymar,34
Brazil,Luiz Felipe Scolari,MF,Oscar,17
Brazil,Luiz Felipe Scolari,GK,Julio Cesar,69
Brazil,Luiz Felipe Scolari,DF,Dante,3
Brazil,Luiz Felipe Scolari,DF,Filipe Luis,4
Brazil,Luiz Felipe Scolari,MF,Jean,5
Brazil,Luiz Felipe Scolari,DF,Rever,8
Brazil,Luiz Felipe Scolari,MF,Luiz Gustavo,5
Brazil,Luiz Felipe Scolari,MF,Paulinho,13
Brazil,Luiz Felipe Scolari,FW,Hulk,22
Brazil,Luiz Felipe Scolari,MF,Bernard,3
Brazil,Luiz Felipe Scolari,FW,Jo,4
Brazil,Luiz Felipe Scolari,GK,Diego Cavalieri,2
Brazil,Luiz Felipe Scolari,MF,Jadson,7
Japan,Alberto Zaccheroni,GK,Eiji Kawashima,45
Japan,Alberto Zaccheroni,DF,Masahiko Inoha,19
Japan,Alberto Zaccheroni,DF,Gotoku Sakai,5
Japan,Alberto Zaccheroni,MF,Keisuke Honda,42
Japan,Alberto Zaccheroni,DF,Yuto Nagatomo,58
Japan,Alberto Zaccheroni,DF,Atsuto Uchida,57
Japan,Alberto Zaccheroni,MF,Yasuhito Endo,130
Japan,Alberto Zaccheroni,FW,Hiroshi Kiyotake,17
Japan,Alberto Zaccheroni,FW,Shinji Okazaki,63
Japan,Alberto Zaccheroni,FW,Shinji Kagawa,43
Japan,Alberto Zaccheroni,FW,Mike Havenaar,14
Japan,Alberto Zaccheroni,GK,Shusaku Nishikawa,8
Japan,Alberto Zaccheroni,MF,Hajime Hosogai,21
Japan,Alberto Zaccheroni,MF,Kengo Nakamura,66
Japan,Alberto Zaccheroni,DF,Yasuyuki Konno,68
Japan,Alberto Zaccheroni,DF,Yuzo Kurihara,16
Japan,Alberto Zaccheroni,MF,Makoto Hasebe,68
Japan,Alberto Zaccheroni,FW,Ryoichi Maeda,30
Japan,Alberto Zaccheroni,FW,Takashi Inui,10
Japan,Alberto Zaccheroni,MF,Hideto Takahashi,5
Japan,Alberto Zaccheroni,DF,Hiroki Sakai,10
Japan,Alberto Zaccheroni,DF,Maya Yoshida,27
Japan,Alberto Zaccheroni,GK,Shuichi Gonda,1
Mexico,Jose Manuel de la Torre,GK,Guillermo Ochoa,52
Mexico,Jose Manuel de la Torre,DF,Francisco Rodriguez,80
Mexico,Jose Manuel de la Torre,DF,Carlos Salcido,113
Mexico,Jose Manuel de la Torre,DF,Diego Reyes,5
